code,diagnosis_en,diagnosis_sr_latn,diagnosis_ru,diagnosis_lat
Y41.8,Other specified systemic anti-infectives and antiparasitics,Druga označena antiinfektivna i antiparazitarna sredstva koja deluju na sisteme,Другие уточненные системные противоинфекционные и противопаразитарные средства,#Druga označena antiinfektivna i antiparazitarna sredstva koja deluju na sisteme
Y41.9,"Systemic anti-infective and antiparasitic, unspecified","Antiinfektivna i antiparazitarna sredstva koja deluju na sisteme, neoznačena",Системные противоинфекционные и противопаразитарные препараты неуточненные,"#Antiinfektivna i antiparazitarna sredstva koja deluju na sisteme, neoznačena"
Y42,"Hormones and their synthetic substitutes and antagonists, not elsewhere classified","Hormoni i njihove sintetičke zamene i antagonisti, neklasifikovani na drugom mestu","Гормоны и их синтетические заменители и антагонисты, не классифицированные в других рубриках","#Hormoni i njihove sintetičke zamene i antagonisti, neklasifikovani na drugom mestu"
Y42.0,Glucocorticoids and synthetic analogues,Glikokortikoidi i sintetički analozi,Глюкокортикоиды и их синтетические аналоги,#Glikokortikoidi i sintetički analozi
Y42.1,Thyroid hormones and substitutes,Tireoidni hormoni i njihove zamene,Тиреоидные гормоны и их заменители,#Tireoidni hormoni i njihove zamene
Y42.2,Antithyroid drugs,Antitireoidni lekovi,Антитиреоидные препараты,#Antitireoidni lekovi
Y42.3,Insulin and oral hypoglycaemic [antidiabetic] drugs,Insulin i oralni hipoglikemijski lekovi [antidijabetici],Инсулин и пероральные гипогликемические [противодиабетические] препараты,#Insulin i oralni hipoglikemijski lekovi [antidijabetici]
Y42.4,Oral contraceptives,Kontraceptivna sredstva za oralnu primenu,Пероральные контрацептивы,#Kontraceptivna sredstva za oralnu primenu
Y42.5,Other estrogens and progestogens,Drugi estrogeni i progesteroni,Другие эстрогены и прогестогены,#Drugi estrogeni i progesteroni
Y42.6,"Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified","Antigonadotropini, antiestrogeni, antiandrogeni, neklasifikovani na drugom mestu","Антигонадотропины, антиэстрогены, антиандрогены, не классифицированные в других рубриках","#Antigonadotropini, antiestrogeni, antiandrogeni, neklasifikovani na drugom mestu"
